sensor_id,date,timestamp,quartier,temperature,humidite,pression
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:12.467000,Bonanjo,25.2,73.12,1011.08
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:12.605000,Cite SIC,27.92,85.97,1010.94
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:12.753000,New Bell,28.8,80.51,1013.62
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:12.893000,Akwa,26.0,79.69,1014.19
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:13.004000,Bonapriso,27.38,73.77,1013.33
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:13.112000,Kotto,29.42,84.01,1011.53
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:13.273000,Bepanda,28.03,81.23,1009.91
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:13.422000,Bepanda,28.11,81.69,1008.69
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:13.783000,Kotto,28.06,88.11,1014.01
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:15.333000,Bonanjo,25.31,70.62,1011.66
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:15.468000,Bonapriso,25.94,70.21,1013.6
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:15.619000,Bonapriso,25.67,73.52,1013.88
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:15.774000,Kotto,27.54,79.45,1008.04
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:16.031000,Cite SIC,28.47,82.9,1013.83
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:16.185000,Akwa,27.78,77.66,1009.35
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:16.372000,Bepanda,27.15,81.73,1008.95
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:16.521000,Bonanjo,25.99,77.66,1011.98
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:16.631000,Deido,27.2,79.9,1014.77
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:16.795000,Bonapriso,26.84,76.7,1010.8
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:16.943000,Deido,29.04,80.52,1014.97
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:17.101000,Bepanda,28.82,79.77,1011.99
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:17.256000,Cite SIC,27.48,76.89,1014.04
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:17.404000,Kotto,28.38,83.67,1009.66
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:17.535000,Akwa,28.06,79.93,1012.15
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:17.700000,Kotto,29.37,80.23,1011.34
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:17.845000,Bonapriso,25.79,74.32,1008.22
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:18.059000,Logbaba,29.96,85.27,1010.91
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:18.230000,Akwa,27.51,82.18,1011.13
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:18.450000,Deido,27.2,82.9,1012.08
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:19.121000,Bepanda,29.28,82.47,1011.33
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:19.307000,Cite SIC,27.16,77.9,1012.15
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:19.538000,Akwa,27.23,77.1,1010.06
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:19.894000,Bonapriso,25.17,69.17,1008.02
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:20.405000,New Bell,28.56,86.23,1014.88
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:20.835000,Bepanda,28.95,85.15,1010.66
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:21.075000,Bonapriso,27.16,71.0,1014.93
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:21.293000,Makepe,26.99,77.68,1014.94
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:21.478000,Cite SIC,27.77,82.62,1008.57
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:21.663000,Kotto,29.54,85.24,1009.33
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:21.836000,Bonapriso,27.03,72.65,1013.15
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:22.022000,Makepe,27.9,76.79,1011.07
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:22.220000,Akwa,26.38,76.89,1012.42
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:22.461000,New Bell,29.04,81.7,1014.86
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:22.626000,Kotto,29.15,88.29,1012.41
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:22.803000,Bonapriso,27.02,77.75,1010.21
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:22.953000,Logbaba,28.97,87.51,1013.78
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:23.394000,Deido,26.49,83.63,1014.24
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:23.531000,New Bell,28.94,85.98,1008.88
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:23.836000,Deido,28.62,77.29,1009.19
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:24.176000,Bonanjo,26.32,77.31,1014.68
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:24.425000,New Bell,30.44,81.37,1011.68
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:24.606000,Bonanjo,26.48,78.28,1010.31
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:24.824000,Cite SIC,28.87,78.3,1014.47
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:25.230000,Kotto,28.05,80.52,1010.61
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:25.593000,Cite SIC,28.69,80.05,1010.66
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:25.910000,Akwa,27.95,77.04,1012.93
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:26.109000,Bonanjo,26.55,77.83,1013.04
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:26.256000,Deido,28.32,79.2,1012.75
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:26.476000,Kotto,27.67,84.85,1012.55
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:26.608000,Akwa,25.67,73.52,1012.09
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:26.725000,Bonapriso,26.17,71.82,1014.54
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:26.836000,New Bell,30.35,82.81,1013.86
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:26.936000,Bepanda,29.29,80.37,1012.49
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:27.059000,Bonanjo,27.58,71.75,1010.9
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:27.188000,Akwa,27.16,73.86,1014.79
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:27.421000,Kotto,28.84,82.02,1013.17
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:27.533000,Bonanjo,26.84,73.62,1012.67
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:27.640000,Kotto,28.64,79.82,1011.1
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:27.759000,Kotto,29.68,80.78,1010.8
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:27.859000,Bonapriso,26.91,69.15,1013.37
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:27.962000,Akwa,26.58,74.14,1009.49
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:28.064000,Logbaba,27.94,80.97,1010.92
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:28.195000,Bonapriso,27.4,70.35,1009.59
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:28.321000,Logbaba,28.17,80.68,1012.99
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:28.437000,Bonapriso,25.34,75.1,1012.49
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:28.550000,Logbaba,29.94,85.4,1009.01
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:29.047000,Kotto,28.17,83.56,1010.93
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:29.135000,Cite SIC,27.68,83.01,1010.4
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:29.305000,Kotto,28.36,86.49,1012.32
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:29.707000,Bonapriso,26.67,71.97,1011.39
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:29.877000,Akwa,25.68,81.43,1014.42
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:30.074000,New Bell,28.42,80.3,1009.91
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:30.298000,Cite SIC,29.3,77.82,1014.64
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:30.430000,New Bell,29.38,84.84,1013.4
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:30.511000,Bepanda,28.86,83.6,1014.5
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:30.605000,Bepanda,28.4,77.45,1012.52
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:30.678000,Deido,26.23,79.75,1010.89
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:30.766000,Kotto,27.34,79.41,1011.49
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:30.861000,Makepe,28.68,77.16,1011.78
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:30.955000,Makepe,26.66,83.8,1009.13
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:31.046000,Bepanda,29.25,82.34,1011.7
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:31.137000,Bonapriso,25.81,68.58,1013.15
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:31.221000,Bonapriso,26.12,69.38,1010.86
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:31.311000,Makepe,27.55,79.1,1012.87
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:31.432000,Bonapriso,24.62,75.01,1009.66
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:31.526000,Bonapriso,26.69,75.28,1010.65
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:31.618000,Kotto,28.76,80.61,1010.09
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:31.704000,Kotto,28.57,87.23,1009.3
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:31.784000,Bepanda,28.34,82.87,1013.05
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:31.875000,Cite SIC,27.63,79.75,1013.02
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:31.961000,Deido,27.09,80.47,1012.89
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:32.053000,Makepe,27.35,79.06,1012.49
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:32.154000,Kotto,29.57,85.92,1012.85
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:32.267000,Akwa,25.51,81.3,1013.67
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:32.360000,Bonanjo,25.16,77.52,1013.5
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:32.452000,Kotto,28.3,83.33,1008.18
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:32.540000,Logbaba,29.33,79.31,1014.6
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:32.650000,New Bell,28.18,83.83,1012.08
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:32.755000,Cite SIC,27.28,83.06,1008.61
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:32.868000,Deido,29.01,84.2,1013.0
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:32.976000,Bonanjo,25.86,72.29,1010.65
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:33.127000,Akwa,27.07,74.3,1009.06
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:33.387000,Bonapriso,26.51,71.88,1011.45
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:33.490000,Logbaba,28.56,79.93,1011.07
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:33.681000,Bonapriso,26.71,69.75,1010.28
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:33.947000,Deido,28.93,83.13,1011.54
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:34.291000,Bonapriso,24.55,74.66,1012.15
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:34.548000,Logbaba,28.79,82.3,1011.39
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:34.651000,Logbaba,29.17,82.73,1014.79
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:34.839000,Akwa,25.84,80.81,1010.59
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:35.112000,Akwa,26.49,78.65,1011.04
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:35.620000,Deido,26.92,84.77,1014.66
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:35.770000,Bepanda,27.64,82.23,1013.19
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:36.110000,Logbaba,27.61,85.57,1011.11
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:36.275000,Makepe,28.93,79.05,1014.55
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:36.553000,Bonanjo,26.37,76.09,1014.16
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:36.768000,Bonapriso,26.55,75.38,1008.92
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:36.984000,Akwa,27.75,80.3,1013.37
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:37.201000,New Bell,28.61,89.74,1014.25
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:37.492000,Bonanjo,27.4,71.26,1009.35
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:37.709000,Cite SIC,28.1,81.77,1013.72
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:38.026000,Bepanda,28.47,80.96,1014.05
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:38.428000,Kotto,27.35,88.53,1010.62
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:38.790000,Kotto,27.68,86.19,1008.75
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:38.907000,Bonanjo,25.94,78.89,1014.98
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:39.139000,Bepanda,27.92,86.81,1013.53
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:39.273000,Kotto,30.15,81.63,1011.91
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:39.442000,Bepanda,28.52,84.6,1010.23
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:39.728000,Bonanjo,25.08,74.49,1009.69
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:39.991000,Akwa,27.87,80.27,1010.15
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:40.210000,Logbaba,29.71,83.45,1012.6
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:40.540000,Kotto,28.32,80.82,1008.29
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:40.840000,Bonanjo,27.14,72.98,1014.51
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:41.017000,Akwa,28.04,74.01,1008.84
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:41.175000,Deido,28.87,75.16,1009.94
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:41.595000,Makepe,28.91,77.33,1010.84
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:41.709000,New Bell,30.41,86.34,1012.19
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:41.899000,New Bell,29.19,81.82,1008.64
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:42.073000,Akwa,26.42,74.44,1014.22
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:42.273000,Cite SIC,28.46,80.88,1010.86
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:42.493000,Deido,28.06,84.96,1012.12
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:42.684000,Akwa,25.96,81.33,1013.57
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:42.808000,Akwa,28.02,78.96,1009.31
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:42.934000,Kotto,28.91,85.74,1010.91
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:43.063000,Makepe,26.5,78.04,1012.42
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:43.195000,Makepe,27.77,76.23,1013.64
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:43.317000,Makepe,27.4,82.39,1008.71
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:43.451000,Bepanda,29.37,82.96,1009.85
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:43.580000,Deido,29.01,83.68,1009.02
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:43.665000,Makepe,28.0,83.25,1014.74
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:43.807000,New Bell,30.69,84.24,1014.29
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:43.928000,Makepe,26.68,74.07,1014.25
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:44.033000,Bonapriso,24.85,76.31,1012.39
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:44.120000,Bonanjo,27.66,78.92,1011.01
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:44.485000,Bonanjo,27.15,72.09,1013.62
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:44.554000,New Bell,30.34,81.42,1009.78
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:44.652000,Deido,28.75,75.1,1011.69
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:44.813000,Bonanjo,25.48,75.62,1008.51
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:44.918000,Makepe,26.77,83.53,1010.89
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:45.068000,Deido,28.42,81.38,1010.67
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:45.225000,Deido,27.8,75.51,1010.94
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:45.463000,Bonapriso,25.3,71.41,1008.35
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:45.647000,Makepe,27.15,83.42,1011.19
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:45.761000,Cite SIC,28.76,76.29,1009.1
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:45.949000,Bonapriso,25.1,71.71,1014.96
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:46.243000,Deido,28.79,79.52,1009.94
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:46.373000,Deido,28.24,77.11,1013.67
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:46.562000,Bonapriso,26.81,68.17,1010.53
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:46.858000,Deido,26.84,84.89,1012.87
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:46.941000,Bonapriso,26.7,70.72,1008.65
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:47.067000,Bepanda,29.14,79.25,1010.0
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:47.214000,Deido,27.25,77.81,1014.95
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:47.335000,New Bell,28.85,85.11,1012.64
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:47.443000,Deido,27.19,78.85,1009.38
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:47.550000,Makepe,26.63,83.15,1008.58
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:47.673000,New Bell,30.38,85.08,1009.7
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:47.791000,Bonanjo,25.25,70.82,1008.16
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:47.896000,Akwa,27.06,81.28,1012.78
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:48.034000,Kotto,29.5,87.46,1009.37
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:48.160000,New Bell,28.96,83.05,1014.03
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:48.290000,Akwa,26.46,73.36,1008.71
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:48.420000,New Bell,28.39,81.16,1013.59
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:48.532000,Logbaba,30.02,81.85,1012.64
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:48.661000,Bonanjo,25.39,72.12,1013.1
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:48.827000,Makepe,27.17,81.46,1009.67
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:48.950000,Bonanjo,25.96,71.57,1008.68
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:49.113000,New Bell,29.65,84.81,1010.58
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:49.205000,Cite SIC,28.89,79.07,1010.74
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:49.309000,Akwa,27.49,81.04,1009.97
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:49.472000,Logbaba,28.39,81.87,1010.94
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:49.644000,Makepe,28.9,81.3,1014.44
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:49.853000,Bepanda,29.4,83.15,1010.18
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:50.116000,Kotto,28.13,87.06,1011.91
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:50.321000,Bonanjo,25.22,77.37,1014.67
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:50.435000,Bonapriso,27.31,74.51,1011.38
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:50.538000,Kotto,30.16,84.62,1014.96
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:50.626000,Bonapriso,27.13,71.09,1008.34
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:50.734000,Bepanda,28.84,78.36,1014.64
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:50.839000,Deido,27.9,83.42,1014.03
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:50.937000,Logbaba,29.74,84.75,1010.19
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:51.035000,Bonanjo,25.79,71.15,1009.4
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:51.240000,Akwa,27.68,79.19,1014.95
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:51.321000,New Bell,28.04,83.48,1012.06
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:51.402000,Deido,26.37,80.4,1009.13
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:51.484000,Cite SIC,27.9,76.57,1008.99
SENSOR_DEIDO,2026-03-25,2026-03-25 02:54:51.588000,Deido,27.42,83.91,1011.41
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:51.678000,New Bell,28.91,82.9,1009.58
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:51.771000,Makepe,28.71,75.61,1011.86
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:51.869000,Kotto,29.82,88.69,1014.77
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:51.952000,Cite SIC,28.07,80.69,1008.85
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:52.073000,Makepe,26.54,78.54,1010.28
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:52.178000,Logbaba,29.53,85.53,1008.77
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:52.273000,Kotto,29.73,80.86,1014.28
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:52.367000,Bonanjo,26.83,77.93,1008.22
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:52.447000,Bonanjo,26.29,71.51,1010.92
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:52.532000,Bepanda,27.29,86.17,1011.05
